idventa,FechaVenta,PrecioTotalVenta,Ganancia
1,2018-04-30,0.0,0.0
2,2018-04-13,0.0,0.0
3,2018-04-13,0.0,0.0
4,2018-04-13,0.0,0.0
5,2018-04-13,0.0,0.0
6,2018-04-13,24.0,0.0
7,2018-04-13,24.0,0.0
8,2018-04-14,0.0,0.0
9,2018-04-14,0.0,0.0
10,2018-04-14,0.0,0.0
11,2018-04-14,0.0,0.0
12,2018-04-14,0.0,0.0
13,2018-04-14,0.0,0.0
14,2018-04-14,80.0,0.0
15,2018-04-14,24.0,0.0
16,2018-04-14,0.0,0.0
17,2018-04-14,44.0,0.0
18,2018-04-14,69.0,0.0
19,2018-04-14,44.0,0.0
20,2018-04-14,44.0,0.0
21,2018-04-14,0.0,0.0
22,2018-04-14,0.0,0.0
23,2018-04-14,90.0,29.0
24,2018-04-14,101.0,14.0
25,2018-04-14,64.0,10.0
26,2018-04-16,68.0,20.0
27,2018-04-16,200.0,40.0
